,,,
,,,
,IGTA3,Date,Close
,,06/07/2020 16:56:00,"36,1"
,,07/07/2020 16:56:00,"35,42"
,,08/07/2020 16:56:00,"35,5"
,,10/07/2020 16:56:00,"36,54"
,,13/07/2020 16:56:00,"35,38"
,,14/07/2020 16:56:00,"35,3"
,,15/07/2020 16:56:00,"35,7"
,,16/07/2020 16:56:00,"35,36"
,,17/07/2020 16:56:00,"35,63"
,,20/07/2020 16:56:00,"36,2"
,,21/07/2020 16:56:00,"36,76"
,,22/07/2020 16:56:00,"35,25"
,,23/07/2020 16:56:00,"34,24"
,,24/07/2020 16:56:00,"33,68"
,,27/07/2020 16:56:00,"33,77"
,,28/07/2020 16:56:00,"34,58"
,,29/07/2020 16:56:00,"34,58"
,,30/07/2020 16:56:00,"34,3"
,,31/07/2020 16:56:00,"33,55"
,,03/08/2020 16:56:00,"32,8"
,,04/08/2020 16:56:00,"32,46"
,,05/08/2020 16:56:00,"34,98"
,,06/08/2020 16:56:00,"36,65"
,,07/08/2020 16:56:00,"35,85"
,,10/08/2020 16:56:00,"36,08"
,,11/08/2020 16:56:00,"36,7"
,,12/08/2020 16:56:00,"35,73"
,,13/08/2020 16:56:00,"33,97"
,,14/08/2020 16:56:00,"34,77"
,,17/08/2020 16:56:00,"33,22"
,,18/08/2020 16:56:00,"33,72"
,,19/08/2020 16:56:00,"33,44"
,,20/08/2020 16:56:00,"34,39"
,,21/08/2020 16:56:00,"34,14"
,,24/08/2020 16:56:00,"34,15"
,,25/08/2020 16:56:00,"33,81"
,,26/08/2020 16:56:00,"33,47"
,,27/08/2020 16:56:00,"33,49"
,,28/08/2020 16:56:00,"33,63"
,,31/08/2020 16:56:00,"32,96"
,,01/09/2020 16:56:00,"34,8"
,,02/09/2020 16:56:00,"34,82"
,,03/09/2020 16:56:00,"34,17"
,,04/09/2020 16:56:00,"34,53"
,,08/09/2020 16:56:00,"36,1"
,,09/09/2020 16:56:00,"35,3"
,,10/09/2020 16:56:00,"34,73"
,,11/09/2020 16:56:00,"34,11"
,,14/09/2020 16:56:00,"35,99"
,,15/09/2020 16:56:00,"36,07"
,,16/09/2020 16:56:00,"36,82"
,,17/09/2020 16:56:00,"36,39"
,,18/09/2020 16:56:00,"35,45"
,,21/09/2020 16:56:00,"33,85"
,,22/09/2020 16:56:00,"33,45"
,,23/09/2020 16:56:00,"32,58"
,,24/09/2020 16:56:00,"32,43"
,,25/09/2020 16:56:00,"31,69"
,,28/09/2020 16:56:00,"30,91"
,,29/09/2020 16:56:00,"30,34"
,,30/09/2020 16:56:00,"30,75"
,,01/10/2020 16:56:00,"32,12"
,,02/10/2020 16:56:00,"31,25"
,,05/10/2020 16:56:00,"31,4"
,,06/10/2020 16:56:00,"32,09"
,,07/10/2020 16:56:00,"32,32"
,,08/10/2020 16:56:00,"32,55"
,,09/10/2020 16:56:00,"32,4"
,,13/10/2020 16:56:00,"32,08"
,,14/10/2020 16:56:00,"32,09"
,,15/10/2020 16:56:00,"32,53"
,,16/10/2020 16:56:00,"32,14"
,,19/10/2020 16:56:00,"32,4"
,,20/10/2020 16:56:00,"33,06"
,,21/10/2020 16:56:00,"34,16"
,,22/10/2020 16:56:00,"33,7"
,,23/10/2020 16:56:00,"33,45"
,,26/10/2020 16:56:00,"32,29"
,,27/10/2020 16:56:00,"31,7"
,,28/10/2020 16:56:00,30
,,29/10/2020 16:56:00,"30,34"
,,30/10/2020 16:56:00,"29,99"
,,03/11/2020 16:56:00,"29,48"
,,04/11/2020 16:56:00,"30,82"
,,05/11/2020 16:56:00,"32,33"
,,06/11/2020 16:56:00,"33,98"
,,09/11/2020 16:56:00,"38,17"
,,10/11/2020 16:56:00,"37,69"
,,11/11/2020 16:56:00,"37,13"
,,12/11/2020 16:56:00,"35,56"
,,13/11/2020 16:56:00,"35,15"
,,16/11/2020 16:56:00,"35,51"
,,17/11/2020 16:56:00,"36,22"
,,18/11/2020 16:56:00,"34,66"
,,19/11/2020 16:56:00,"34,6"
,,20/11/2020 16:56:00,"33,7"
,,23/11/2020 16:56:00,"34,25"
,,24/11/2020 16:56:00,"36,3"
,,25/11/2020 16:56:00,"36,91"
,,26/11/2020 16:56:00,"36,29"
,,27/11/2020 16:56:00,"36,98"
,,30/11/2020 16:56:00,"36,16"
,,01/12/2020 16:56:00,"38,07"
,,02/12/2020 16:56:00,"38,52"
,,03/12/2020 16:56:00,"39,27"
,,04/12/2020 16:56:00,"38,3"
,,07/12/2020 16:56:00,"38,62"
,,08/12/2020 16:56:00,"38,4"
,,09/12/2020 16:56:00,"39,21"
,,10/12/2020 16:56:00,"40,1"
,,11/12/2020 16:56:00,"39,2"
,,14/12/2020 16:56:00,"39,66"
,,15/12/2020 16:56:00,"39,55"
,,16/12/2020 16:56:00,"39,42"
,,17/12/2020 16:56:00,"38,93"
,,18/12/2020 16:56:00,"38,27"
,,21/12/2020 16:56:00,"37,07"
,,22/12/2020 16:56:00,"36,49"
,,23/12/2020 16:56:00,"36,96"
,,28/12/2020 16:56:00,"37,58"
,,29/12/2020 16:56:00,"36,86"
,,30/12/2020 16:56:00,"37,15"
